Player,PB
,
Tony Gonzalez\GonzTo00,14
Peyton Manning\MannPe00,14
Bruce Matthews+\MattBr00,14
Merlin Olsen+\OlseMe00,14
Tom Brady\BradTo00,13
Ray Lewis\LewiRa00,13
Jerry Rice+\RiceJe00,13
Reggie White+\WhitRe00,13
Champ Bailey\BailCh00,12
Ken Houston+\HousKe02,12
Randall McDaniel+\McDaRa00,12
Jim Otto+\OttoJi00,12
Junior Seau+\SeauJu00,12
Will Shields+\ShieWi00,12
Larry Allen+\AlleLa00,11
Drew Brees\BreeDr00,11
Derrick Brooks+\BrooDe00,11
Brett Favre+\FavrBr00,11
Larry Fitzgerald\FitzLa00,11
Bob Lilly+\LillBo00,11
Tom Mack+\MackTo00,11
Gino Marchetti+\MarcGi00,11
Anthony Munoz+\MunoAn00,11
Jonathan Ogden+\OgdeJo00,11
Willie Roaf+\RoafWi00,11
Bruce Smith+\SmitBr00,11
Rod Woodson+\WoodRo01,11
Joe Greene+\GreeJo02,10
Ronnie Lott+\LottRo00,10
Leo Nomellini+\NomeLe00,10
Mel Renfro+\RenfMe00,10
Jim Ringo+\RingJi00,10
Barry Sanders+\SandBa00,10
Joe Schmidt+\SchmJo00,10
Mike Singletary+\SingMi00,10
Lawrence Taylor+\TaylLa00,10
Joe Thomas\ThomJo28,10
Johnny Unitas+\UnitJo00,10
Jason Witten\WittJa00,10
Maxie Baughan\BaugMa00,9
Bobby Bell+\BellBo00,9
Jim Brown+\BrowJi00,9
Rosey Brown+\BrowRo04,9
Ruben Brown\BrowRu00,9
Tim Brown+\BrowTi00,9
Willie Brown+\BrowWi01,9
Harry Carson+\CarsHa00,9
Brian Dawkins\DawkBr00,9
John Elway+\ElwaJo00,9
Alan Faneca\FaneAl00,9
Forrest Gregg+\GregFo00,9
Lou Groza+\GrozLo20,9
Chris Hanburger+\HanbCh00,9
John Hannah+\HannJo00,9
Franco Harris+\HarrFr00,9
Mike Haynes+\HaynMi01,9
Walter Jones+\JoneWa00,9
Jack Lambert+\LambJa00,9
Yale Lary+\LaryYa00,9
John Lynch\LyncJo00,9
Dan Marino+\MariDa00,9
Warren Moon+\MoonWa00,9
Mike Munchak+\MuncMi00,9
Alan Page+\PageAl00,9
Walter Payton+\PaytWa00,9
Julius Peppers\PeppJu99,9
Jason Peters\PeteJa21,9
Ed Reed\ReedEd00,9
Ernie Stautner+\StauEr00,9
Walt Sweeney\SweeWa00,9
Fran Tarkenton+\TarkFr00,9
Derrick Thomas+\ThomDe01,9
Emlen Tunnell+\TunnEm00,9
Jim Tyrer\TyreJi00,9
Norm Van Brocklin+\VanBNo00,9
DeMarcus Ware\WareDe99,9
Mike Webster+\WebsMi00,9
Randy White+\WhitRa00,9
Charles Woodson\WoodCh00,9
Doug Atkins+\AtkiDo00,8
Steve Atwater\AtwaSt00,8
Chuck Bednarik+\BednCh00,8
Elvin Bethea+\BethEl00,8
Buck Buchanan+\BuchBu00,8
Nick Buoniconti+\BuonNi00,8
Dick Butkus+\ButkDi00,8
Cris Carter+\CartCr00,8
Lou Creekmur+\CreeLo00,8
Chris Doleman+\DoleCh00,8
Antonio Gates\GateAn00,8
Bill George+\GeorBi00,8
Frank Gifford+\GiffFr00,8
Bob Griese+\GrieBo00,8
Jack Ham+\HamxJa00,8
Marvin Harrison+\HarrMa00,8
Ted Hendricks+\HendTe00,8
Winston Hill\HillWi00,8
Deacon Jones+\JoneDe00,8
Cortez Kennedy+\KennCo00,8
Paul Krause+\KrauPa00,8
George Kunz\KunzGe00,8
Willie Lanier+\LaniWi00,8
James Lofton+\LoftJa00,8
Howie Long+\LongHo00,8
Kevin Mawae\MawaKe00,8
Ron Mix+\MixxRo00,8
Joe Montana+\MontJo01,8
Jim Parker+\ParkJi00,8
Lemar Parrish\ParrLe00,8
Troy Polamalu\PolaTr99,8
Les Richter+\RichLe00,8
Deion Sanders+\SandDe00,8
Shannon Sharpe+\SharSh00,8
Billy Shaw+\ShawBi00,8
Art Shell+\ShelAr00,8
Emmitt Smith+\SmitEm00,8
Charley Taylor+\TaylCh00,8
Brian Urlacher\UrlaBr00,8
Paul Warfield+\WarfPa00,8
Aeneas Williams+\WillAe00,8
Larry Wilson+\WilsLa00,8
Steve Wisniewski\WisnSt00,8
Willie Wood+\WoodWi00,8
Lance Alworth+\AlwoLa00,7
Morten Andersen+\andermor01,7
Lem Barney+\BarnLe00,7
Robert Brazile\BrazRo00,7
Lance Briggs\BrigLa99,7
Lomas Brown\BrowLo00,7
Ed Budde\BuddEd00,7
Dermontti Dawson+\DawsDe00,7
Len Dawson+\DawsLe00,7
Marshall Faulk+\FaulMa00,7
Dwight Freeney\FreeDw00,7
Randy Gradishar\GradRa00,7
A.J. Green\GreeA.00,7
Darrell Green+\GreeDa00,7
Ray Guy+\GuyxRa20,7
Jay Hilgenberg\HilgJa00,7
Chris Hinton\HintCh00,7
Torry Holt\HoltTo00,7
Steve Hutchinson\HutcSt00,7
Andre Johnson\JohnAn02,7
Stan Jones+\JoneSt01,7
Jack Kemp\KempJa00,7
Night Train Lane+\LaneDi00,7
Steve Largent+\LargSt00,7
Shane Lechler\LechSh20,7
Nick Mangold\MangNi20,7
Logan Mankins\MankLo20,7
Jerry Mays\MaysJe00,7
Lenny Moore+\MoorLe00,7
Jon Morris\MorrJo03,7
Orlando Pace+\PaceOr00,7
Adrian Peterson\PeteAd01,7
Patrick Peterson\PetePa00,7
John Randle+\RandJo00,7
